Translated,Label
 । । । । । । । । । । । । কিনুন এক পেতে এক মেক্সিকান পাস্তা । । । । । । । । । । গোপি আর কোকিলার খালি কুকার এর ঝামেলা বাদ দিয়ে আসুন আমরা পাস্তা খাই । যদি দুই জন হ্যাঙ্গআউট এর জন্য প্লেস খুজেন তাহলে মিরপুর ৬০ ফিটের খাবার রসায়ন ছাদ ক্যাফে তে আপনি সেই পরিবেশ পাবেন আর সাথে পাবেন দুইজনের জন্য মাত্র ২৫০ টাকায় পারফেক্ট পাস্তা অফার । যদি বলি টেস্ট এর কথা তবে আপনি চোখ বন্ধ করে বিশ্বাস রাখতে পারেন । এই অফারে আপনি পাবেন ২টি মেক্সিকান চুলা পাস্তা মাত্র ২৫০ টাকায় । অবস্থান খাবার রসায়ন ছাদ ক্যাফে মিরপুর 60 পা পাশে চাপরা মোসজিড বৈধতা 30 08 20 থেকে 02 09 20,0
 । । পর্যালোচনা দেখে গেছিলাম ভাবতেই অবাক লাগে ১২ রকমের আইটেম এক প্লেটারে । । দুইজনের জন্যে নয় তাও মাত্র একজনের জন্যে । 1 পছন্দের চাউ মেইন ছাড়াও রয়েছে 2 ভাজা ভাত 7 থাই সুপার 3 ভাজা মুরগী 8 সবজি তরকারী 4 বিবিকিউ মুরগী 9 সবুজ চাটনি 5 ডিম 10 সালাদ 6 মুরগী পাস্তা 11 বরফ ক্রিম 12 কোকা কোলা পেপসি এত্ত এত্ত রকমের খাবার কোথাও দিয়েছে কিনা আমার সন্দেহ দামের কথা আার কি বলবো স্বাধীনতা দিবসের জন্য ২৫০টাকার গরম মেনু এখন মাত্র ১৯০ তক এ সেট মেনুর অফার ছিল ২৮ মার্চ পর্যন্ত বাড়লো আরো ১০ দিন সব আইটেম গুলো ছিল অনেক ভাল তাই অফারটি মিস করা থেকে বিরত থাকুন । আর আসতে অবশ্যই খালি পেটে আসবেন । অবস্থান শ্যামলী বর্গক্ষেত্র ক গরম পিজা দোকান 631 6 থ মেঝে,0
 অংশীদার প্লাটার বিগ বাইট রেষ্টুরেন্ট এবারই প্রথমবারের মতো নিয়ে এলো অংশীদার প্লাটার । পার্টনার হতে পারে বন্ধু হতে পারে কলিগ অথবা ভাই বোন । তাই আপনার খাওয়ার পার্টনারকে নিয়ে চলে আসুন পার্টনার প্লেটারের ডাবল অফারে । ৪৯৯ টাকায় ২ প্লেইট ২ জন পার্টনার মিলে এবার জমবে খাওয়া । সাথে একক প্লেইট অর্ডার করলে মাত্র ২৭০ টাকা যোগ করতে হবে । যা যা থাকছে এ প্লেটারে 1 ডিম ভাজা চাল 2 টান্ডোরি মুরগী পেরি পেরি চিকেন 3 চিকেন মরিচ শুকনো 4 মশলাদার মুরগী ডোপিয়াজা 5 চিকেন রসুন উদ্ভিজ্জ 6 চিকেন মরিচ পেঁয়াজ 7 কোলেসলাও সালাদ 8 শাহী প্যান মাসালা 9 পানীয় ডাবল 499 টাকা 2 ব্যক্তি একক প্লেট 270 টক জন্য পারসেল অতিরিক্ত 10 টাকা চার্জ প্রতি প্লেট উইল বি প্রযোজ্য পাওয়া যায় থেকে 10 ম জুলাই 2018 থেকে 15 ম জুলাই 2018 জন্য পারসেল আদেশ দয়া করে কল 01732 900 666 খুশি মঞ্চিং কুমারপাড়া বিন্দু সিলেট 88 01732 900 666,0
 অথেনটিক পিজ্জা খেতে চাইলে এইটা মাস্ট ট্রাই ৪৯ টাকার অফার পিজ্জা খেতে গেছিলাম পিজা স্টেশন এ । অফার শেষ তাই ভাবলাম এসেছি একটা পিজ্জা ট্রাই করেই যাই । অর্ডার করলাম তাদের গরুর মাংস সুপ্রিম নামের পিজ্জাটা । আমার খাওয়া সেরা পিজ্জা গুলোর মধ্যে এইটা একটা । থিন ক্রাস্ট হালকা চিজ আর উপরে বিফ কিমার টপিং । পুরাই প্রিমিয়াম একটা পিজ্জার ফিল দেয় । বিফ কিমায় হালকা নোনতা ও গোলমরিচ এর স্বাদ আর সাথে দেওয়া মেয়নিসের হালকা মিষ্টি একদম পারফেক্ট ব্যালেন্স । বেশ দারুন লাগে খেতে । যাদের একদম চিজে মাখামাখি পিজ্জা ভালো লাগে না তারা পিজ্জা স্টেশন এর পিজ্জা একবার ট্রাই করে দেখতে পারেন দাম ৪৯০ টাকা ১২ রেটিং ৯ ১০,0
 অনলি ফর ইউনিভার্সিটি কাপল স্টুডেন্ট ধানমন্ডিতে কোথাও নাকি কাপলদের জন্য রিজেনেবল প্রাইসে সেট মেনু দিচ্ছে না তাই আমরা 129 টাকায় তাদের তৃপ্তি সহকারে উন্নত মানের কোয়ালিটি সম্পন্ন 100 হালাল ফুড পরিবেশন করেছি টেস্ট 9 10 টক 129 শুধুমাত্র রিটিং 10 10 পিজা পাস্তা ডাইন লোকেশন ধানমন্ডি 15 গ্রীন তাজ সেন্টার আলমাস বিল্ডিং,0
 অনুসরণ করুন ফওওদিএগুয়বদ ওওও ইনস্টাগ্রাম চম ফওওদিএগুয়বদ পছন্দ ভোজনরসিক গাই বিডি জন্য আরো সৎ খাবার পর্যালোচনা স্থান পিজা হোটেল বেইলি রাস্তা পিজা হোটেল এর পিজ্জা আমার বরাবরই ভালো লাগে । তাই আবারও চলে গেলাম বন্ধুদের নিয়ে তাদের পিজ্জা খেতে । নিয়েছিলাম তাদের পিজ্জা সরাইখানা বিশেষ পিজ্জা মাঝারি আর সালাদ বার ছোট । পিজ্জা হোটেল বিশেষ মাঝারি তাদের পিজ্জা খেতে বরাবরই দারুণ লাগে । তাদের পিজ্জায় চিজের পরিমাণ খুবেই ভালো থাকে । পিজ্জার বাকি টপিং গুলাও আমার খেতে খুবেই অসাধারন লেগেছে । বিশেষ করে মোজেরেলা চিজটা খেতে দারুণ ছিল । সালাদ বার ছোট পিজ্জার সাথে নিয়েছিলাম তাদের সালাদ বার । তাদের সালাদের সব আইটেমই ছিল খুবেই ফ্রেশ । তারা সালাদের সাথে তিন ধরণের ড্রেসিং দিয়ে থাকে । তা সালাদের সাথে মিশিয়ে খেতে দারুণ লাগে । যার স্বাদ এখন মুখে লেগে আছে । আইটেম পিজা হোটেল বিশেষ মাঝারি পেপারোনি গরুর মাংস সসেজ টাটকা পেঁয়াজ এবং সবুজ মরিচ ব্র মাশরুম কালো জলপাই টপড সঙ্গে মোজারেলা পনির সালাদ বার ছোট মাশরুম সালাদ মিষ্টি কর্ন লাল কিডনি শিম সবুজ জলপাই ম্যাকারনি হাওয়াইয়ান সালাদ কোলসলা আলু সালাদ পেনে সালাদ লেটুস জেলি তাদের সালাদের সাথে তিন ধরণের ড্রেসিং থাকে হাজার হাজার দ্বীপ ইতালিয়ান ড্রেসিং ফরাসি ড্রেসিং লোকেশন 2 নতুন বেইলি রাস্তা সবুজ আরামদায়ক কুটির 4 ম মেঝে উত্তোলন 4 ঢাকা াকা 1217 রেটিং পিজা সরাই বিশেষ মাধ্যম 8 10 সালাদ বার ছোট 9 10 দাম পিজ্জা হোটেল বিশেষ মাধ্যম 780 15 ভ্যাট সালাদ বার ছোট 245 15 ভ্যাট,0
 অনেক দিন ধরে লকডাউন এর কারণে বাইরে যাওয়া হই না এজন্য পিজা খাওয়া হই না । পে নিয়েছি রসুইঘর পেজের পর্যালোচনা দেখে ওখান থেকে খাবার অডর্ার করি তাদের খাবারের মান অনেক ভালো এবং তাদের ব্যবহার ও অনেক ভালো । ওদের পিজ্জা টা শুধু বাহ আর নওয়াবি সেমাই আর মোমোটা আরো অস্থির আপনারা তাদের পেজে দেখতে পারেন তাদের আরো আইটেম উপলব্ধ আছে । আশা করি আপনারা হতাশ হবেন না । বি দ্র এই সব আইটেম দিনে দিনে আদেশ কোরা আইটেম 01 চিকেন পিজা পুরস্কার 320 টাকা আইটেম 02 মুরগী মোমো পুরস্কার 130 টাকা পরিমাণ 10 টুকরা আইটেম 03 নবাবী সেমাই পুরস্কার 80 টাকা পরিমাণ 150 গ্রাম সবগুলো প্রাইজ পো্রমোশনাল,0
 অনেক দিন ধরে ফ্রেন্ড ট্রিট চাচ্ছিলো কিন্তু সময় হচ্ছিলো না । আজ সময় পেয়ে চলে গেলাম খিলগাঁও এর ইয়াম মিনিয়ন কম টাকাতে বেশি খাবার যেমন তাদের খাবারের কোয়ালিটি তেমন তাদের ব্যবহার এই রেস্টুরেন্টের বড় সুবিধা হলো প্রায় প্রতি মাসে অফার চলে । তাদের ফেসবুকে নিয়মিত অফার আপডেট হতে থাকে আপনার পছন্দ মত একটা অফার বেছে নিতে পারে । আমরা যা যা নিয়েছিলাম ঝুলন্ত চিকেন সঙ্গে ভাত রাইস ভেজিটেবল সালাদ আর সাথে চিকেনরাইস টা খেতে অসাধারণ ছিল আর চিকেন টা খেতে দারুন ছিলো আমার পার্সোনালি এই আইটেম টা অনেক ভালো লেগেছে । দাম 319 টাকা বিশেষ চাউ মেইন 1 1 চাউমিনে ভেজিটেবল সস উপরে টমেটো সাথে একটু ঝাল আহহহ দারুন চাউমিনটাও ভালো ছিলো ছিলো । রেটিং 9 10 অবস্থান তালতলা খিলগাঁও ঢাকা ১২১৯ মানচিত্র হততপস মানচিত্র অ্যাপ গু জিএল ্যদুইমা 2 এইচটিএল 11 এইচ 6 ত 56,0
 অনেক বছর ধরে বড়ই এর আচার খাই নাই যদিও এখন নিজেও আচার বানাতে পারি তারপরও যখন দেখলাম এই আচারের পিছনে একজন মা এর সাবলম্বী হওয়ার গল্প আছে তখন ভাবলাম বানিয়েতো কতই খেতে পারবো কিন্তু এই পেইজ থেকে আচার নিলে একজন মা কে অনুপ্রেরণা দেয়া হবে তার মুখের তৃপ্তির হাসির কারণ হবে ১ বয়াম আচার বিক্রি হওয়া স্বাদের কথায় আসি এবার আমি পারসোনালি যেরকম স্বাদ আশা করেছিলাম একদম ১০০ ঐরকমটাই পেয়েছি আজাদ মোহাম্মদ আনোয়ার মৃধা,0
 অনেক ভাল ছিল খাবারটা সাথে কোল্ড কপি ও ছিল আমি মেক্সিকান ভাজা চাল নিছিলাম 1 ভাজা ভাত 2 ভাজা মুরগি 3 বিবিকিউ মুরগি 4 মুরগি তরকারী 5 সবজি তরকারি 6 সবুজ সউছ 7 কলস্লো সালাদ 8 থি সুপার 9 দুগ্ধ দুধ চকোলেট 10 ঠান্ডা কোফ পানীয় দাম 200 তক স্বাদ 9 10 স্থান মশলাদার ভারতীয় খাদ্য শ্যামোলি বর্গক্ষেত্র কেনাকাটা মল 6 ম মেঝে,0
