Translated,Label
 আজ প্রথম বেলা বাইট শ্যামলী স্কয়ার এর ২৮০ টাকার কাঁপল অফার টা খেয়ে আসলাম । খাবার এর টেষ্ট অনেক অসাধারন লাগছে আর পরিবেশ অনেক জোস লাগছে । আমাদের কাছে অনেক ভাল লাগছে । আমার খাওয়া বেস্ট স্থান বেলা বাইট শ্যামলী স্কয়ারদাম ২৮০ টাকা,1
 আজ বনানী নরদান ইউনিভার্সিটিতে গেলাম আমার কাজিনের একটা কাজে । ইউনি থেকে বের হয়েই রাস্তা পার হয়েই গেলাম নতুন চালু হওয়া একটা খাবারের দোকানে নাম মশলা ক্যাফে । ওইখানে ৩ রকমের খাবার খেলাম । সমুদ্র খাবার পেনে 260 তক মারিরানা চিকেন পেনে 250 টাকা মাংস বল স্প্যাগেটি 240 টাকা সাথে স্লাইস নিয়েছিলাম তবে স্লাইস এর দাম টা মনে নেই । খাবার গুলো ভালোই ছিল তবে লবন টা একটু বেশি ছিল,1
 আজ বন্ধুকে নিয়ে গিয়েছিলাম বেইলি রোড এ । দ্যা মমোস ওয়াল্ড রেস্টুরেন্টে গেলাম তাদের নিউ প্লাটার টেস্ট করতে । তাদের প্লাটার এ নিয়েছিলাম ২জনের জন্য । প্লেটারে ছিলো ফ্রাইড রাইছ ফ্রাইড নুডুলস চিকেন উইংস মংগোলিয়ান বিফ চিলি চিকেন প্রন কারি এবং ড্রিংকস । নুডুলস এর টেস্ট ভালো । ফ্রাইড রাইছ এর টেস্ট ভালো । চিকেন উইংস জোস । বিফ টা সেই । চিকেন টা বেশি ভালো লাগেনি । প্রন টা জোস । পরিবেশ অনেক ভালো । সার্ভিস খুব ভালো । রেটিং প্লেটার এপ্রাইস ১২০০ জন্য 2 খাবার ৭ ৫ ১০পরিবেশ ৯ ১০সার্ভিস ৯ ১০প্লেস দ্য মোমো এস বিশ্ব,1
 আজ বলবো পাস্তা কুঁড়েঘর সেট মেনু ৬ এর কথা স্টেক কার না প্রিয় কম বেশি সবার কাছেই স্টেক অনেক পছন্দের আইটেম আমার কাছেও বেশ ভালোলাগে আর পাস্তা হাটের এই সেট মেনুতেই রয়েছে বেশ বড় একটি স্টেক । সেট মেনুটিতে ছিলো ফ্রাইয়েড রাইস ডিম স্টেক মিক্স ভেজিটাবল ফ্রাইয়েড রাইস অনেক ঝরঝরে ছিল আমার কাছে বেশ ভালো লেগেছে । পরিমাণটাও যথেষ্ট । ডিমটা নরমাল ছিলো উপর দিয়ে টমেটো সস দেওয়ায় টেস্ট অন্যরকম লেগেছে । স্টেকটা পার্ফেক্ট ছিলো সাইজে বেশ বড় উপরে চিজের জন্য একটা জুসি ভাব ক্রিয়েট হয়েছে । ফ্রাইয়েড রাইসের সাথে বেশ ভালো লাগে । মিক্স ভেজিটাবল একদম নরমাল ছিলো এভারেজ টেস্ট । দাম পড়েছে ৩০০টাকারেটিং ৮ ৫ ১০সাথে নিয়েছিলাম ওনিয়ন রিং যা ছিল ১০০ টাকা আইটেমটা আরও ইপ্রুভ হওয়া উচিত একদম সিম্পল ছিলো কিছু মাসালা ইউজ করলে ভালো হইতো আই গেস । লোকেশন বেইলি রোড ।,1
 আজ বসুন্ধরা সিটির দিল্লি দারবার এর বালতি বিরিয়ানি খাইলাম আমার লাইফ এ খাওয়া এখন পর্যন্ত বেষ্ট বিরিয়ানি । সাথে আফগানি তান্দুরি চিকেন নাম টা অন্য কিছুও হতে পারে এখন মনে পরছে না মোটামোটি টেস্ট ছিলো । ধন্যবাদ তাদের যাদের পোষ্ট দেখে এখানের এই বিড়িয়ানির খোজ পাইলাম এতো শুনাম এর ভেতর একটা দুর্নাম করি এরা এতো বেশি দেয় একা শেষ করা যায় না তাই আফগানি তান্দুরি প্রায় না খেয়েই রেখে আসতে হয়েছে ।,1
 আজ বহুল আলোচিত চাপ সামলাওতে গিয়েছিলাম । একদম ফালতু এক কথায় । কাবাব এর পরিমান মোটামুটি । জসিম স্যুপটা কোন রকম চলে । সালাদ একবারে জঘন্য । দাম রেটিংগরুর চাপ ১৩০ । টেস্ট ৫ ১০বটি কাবাব ১৩০ । টেস্ট ৫ ১০সালাদ ৬০ । টেস্ট ০ ১০জসিম স্যুপ ১০০ । টেস্ট ৭ ১০লুচি ১৫ । টেস্ট ৭ ১০ এ চাপ সামলাও উত্তরা,1
 আজ বিকালে শ্যামলী স্কয়ার গিয়েছিলাম বন্ধু বিনোদকে সাথে নিয়ে ফোন কিনতে । ফোন কিনা শেষে বন্ধু বিনোদ বললো চল হাল্কা কিছু খাওয়া যাক । অতঃপর গিয়ে বসলাম শেফ এস রান্না এ । সব সময় তাদের বার্গার খাওয়া পড়লেও আজ আমরা মজুরি এবং তাদের মুরগী ডানা এর ম্যানুটা ট্রাই করলাম । চিকেন উংসের টেস্ট যথেষ্ট ভালো ছিলো । প্রাইস ২২০ টাকা ৭ পিস্ রেটিং ৮ ৫ ১০ আরেকটু হলে বিএফসি কেই ছুয়ে ফেলতো মজুরি টাও খারাপ ছিলো না তবে আরেকটু স্পাইসি হলে ব্যাপারটা আরো জমতো আমি আবার ঝালখোর প্রাইস ৭০ টাকা রেটিং ৭ ৬ ১০ তাদের সার্ভিস এবং ব্যবহারও ছিলো যথেষ্ট আন্তরিক । খাওয়া শেষে আমাদের কোন কমপ্লেন আছে কিনা তাও জানতে চেয়েছিলো আর আমি মজুরি এর ব্যাপারটা নিয়ে বলেছিলাম । সামগ্রিকভাবে তাদের খাবার বেশ ভালোই লেগেছে । এ শেফ স রন্ধনপ্রণালী শামোলি,1
 আজ বিকেল টা কাটল ঝিগাতলায় অবস্থিত জুয়া বাস রান্নাঘর রেস্টুরেন্টে এক ঝাক প্রফেশনাল শেফ ও সার্ভিসের দক্ষ কর্মী বাহিনী দ্বারা পরিচালিত হচ্ছে রেস্টুরেন্ট টি বাস রান্না লাইভ সংগীত র মনোমুগ্ধকর আয়োজন আপ্লুত হলাম । খাবারের মান টেস্ট ১০ ৯ ৫সার্ভিস ১০ ১০লাইভ মিউজিক ১০ ১০স্বাস্থ বিধি ১০ ১০রাইস বোল ১৫০১২ ইঞ্চি পিজার সাথে বার্গার ও ২ টা ড্রিংকস সম্পূর্ণ ফ্রি এ ক্যাফে জুয়াড়ি,1
 আজ বিকেলে এক বড় ভাইয়ের সাথে দেখা করতে গেলাম উত্তরা রাজলক্ষ্মী । ভাই বলল যে চল উপরে গিয়ে বসে কথা বলি । গেলাম স্বপ্ন ফুড কোর্টে । গিয়ে দেখি লম্বা এক লাইন দ্য বেক গ্রিল তিন দিনের অফার চলছে 23 25 তাখির পর্যন্ত । তো আজকে আমরা প্রথম দিন দেখলাম মোটামুটি লাইন ও ভালো চলছে তো আমরাও কথা বলতে বলতে ওখানে বসে পড়লাম আর অর্ডার করে দিলাম । অফারটা ভাল ছিলো । আর মাত্র 2 দিন বাকি আছে । তো আপনারাও ট্রাই করে দেখবেন । দ্য বেক গ্রিলিগ্রুলার মুরগী সঙ্গে চিজডিস্কাউন্ট দাম 99 তক নিয়মিত দাম 180 তকরাতিং 9 5 10,1
 আজ বৃষ্টি পড়ছে তোমাকে খুব মনে পড়ছে সন্ধ্যায় বাইরে বৃষ্টি ফোঁটা দেখে ছোট্টবেলায় বৃষ্টির দিনে পাওয়া একটা চিঠির কথা মনে পড়ে গেলো তখন চিঠিটা পেয়ে ঠিক যতটা সিরিয়াসলি কাউকে মনে পড়ার কথা উপলব্ধী করছি আজ ঠিক ততটাই জোকিং লাগতেছিলো লাইনটা হাসতেছি এর মধ্যেই বড় ভাইয়ের ফোন আলমাস থেকে তোমার ভাবীর জন্য দুইটা ফ্রেশ ক্রিস্প শ্যাম্পু নিয়া আমার এখানে আসো । বের হয়ে চলে আসলাম বনানী আরেক বিবাহিত ব্যাচেলরকে নিয়ে যার বিছানায় সান্ধ্য আইন জারী হইছে সদ্য কাল আমার ছুটি বড় ভাইকে বললাম ভাই আজকে যেহেতু ভাইয়ের বিছানায় সান্ধ্য আইন জারী হইছে চলেন রাতটা সেলিব্রেট করি । কাচ্চি খায়া আসি । কানতে কানতে কাচ্চি খামু এতে ভাইয়ের জন্য সমবেদনাও জানানো হইব আর আমাদের পেটও পুজা হইব রাজি হয়ে গেলো সবাই দায়িত্ব দিলো আমার উপরে ভেন্যু ঠিক করার জন্য গ্রুপের পোষ্ট ঘেটে শেষমেশ সুলতানের ডাইনে যাওয়ার সিদ্ধান্ত নিলাম । গাড়ি নিয়ে ছুটলাম দুই বিবাহিত ব্যাচেলরের সাথে গন্তব্য ধানমন্ডী সাতমসজিদ রোড পৌছে দেখি ডাইনের চারিদিকে ছড়িয়ে ছিটিয়ে বসে আছে মানুষজন কারো সামনেই খাওয়া নাই খিচ খায়া খাড়ায়া গেলাম কই ভাউ ম্যাচ ফিক্সিং হইছে হেরাই বলার হেরাই বেট্যার আই মিন ব্যাটসম্যান আমগো মাঠেই নামতে দিব না আম্পায়ারদ্বয় পজিশনে খাড়ায়া না থাইকা খালি ঘুরাঘুরি করে আর টেবিলে টেবিলে গিয়া সবার কানে মুখে কি জানি বলতেছে নির্ঘাত এদের শিখায়া দিছে যাতে আমরা জিগাইলে কয় আমরা ৩ ঘন্টা ধইরা বইসা আছি খাওনের লাইগ্যা আপনাদের ৬ ঘন্টা বসতে হবে হুত আহেনতো ভাই মাঝের ৬ জনের টেবিলে ৩ জন চ্যাগায়া বইস্যা গেলাম এক আম্পায়ার আইসা কয় স্যার আমাদের আজকের মত কাচ্চি শেষ এখানে যারা বসে আছে সবাই প্রি বুকিং দিয়ে আসছে আম্পায়াররে সুন্দর কইরা কইলাম আপনে স্যার আপনে ভস আমরা উত্তরা থাইক্যা আসছি ভাই গত ৩ দিন কিছু খাই নাই গত রাইতে স্বপ্ন দেখছি গুলশান ২ নাম্বার সার্কেলের পুলিশ বক্সের সামনে ১২০০ টাকা পামু আর সেই টাকা দিয়া আপনার এইখানে খামু তারপর সুর কইরা গান ধরলাম আমার এই স্বপনকি মিথ্যা হইতে পারে রে তুই যে আমার ভস আম্পায়ার গইল্যা গেলো । কইলো ভস ২০ মিনিট বসেন । লাগলে কাচ্চি জন্ম দিমু আপনাগো লাইগ্যা তিনজনের মুখেই সুর্যের হাসি আম্পায়ারের চোখ ধাঁধাঁয়া গেলো সে সরে গেলো আমরা একটু ফটোসেশন করলাম । সান্ধ্য আইন জারী হওয়া ভাই সেলফী নিয়ে ভাবীকে পাঠাইলো ভাবী উনারে ভাইবারে ব্লক মারছে নগদ খাবার আসলো । পরিমানে একটু কম লাগলো ৩ জনের হিসেবে আত্মারে কষ্ট দিলামনা কিন্তু পেটরে দিতে হইলো ৩ ভাই মাশা আল্লাহ কারোই মুখে রুচি নাইক্কা খাইছি তো খাইছিই প্লেট বাটি নিতে আসলে ওয়েইটারকে দাঁড়া করায়া রাইখা ডিস ঝেড়ে পুছে খাইছি ব্যাটা তাকায়া আছে ভ্যাবলার মত কইলাম তুমি অন্য দিকে ঘুরো আজকে কারোই মুখে রুচি নাইক্কা বেচারা মুখ ঘুরিয়ে নিতে বাকিটা তুলে খেলাম সব শেষে ফিরনী আহ প্রতিবার চামচ মুখে দিতেই সেই ভার্জিন চুম্বন খাওয়া দাওয়া শেষ এখন ঠোঁটের কোনায় বিড়ি ধরে এড শিরান এর আকৃতি এর আপনি শুনতে শুনতে বাড়ি যাই । টাটা বাই বাই রেস্তোঁরা সুলতান স ডাইন শাটমাসজিদ রাস্তা ধনমন্ডি আইটেম কাচ্চি বিরিয়ানি সঙ্গে বোরহানি ফিরনি জন্য 3 পার্সোনপ্রাইস 1199 টাকা সহ সব স্বাদ দুর্দান্ত ঠিক দুর্দান্ত,1
