Translated,Label
 যেতে যেতে পথে বসন্তের এই দিনে দেখা হয়ে যায় আবারও আমার শেফ এর সাথে । রাস্তার পাশ দিয়ে হেটে যাওয়ার সময় নজর করার মত একটি পরিবেশ । বিশেষ করে তাদের বাহিরের আপনার প্রি়জনদের সাথে সুন্দর কিছু মুহূর্তের পিক তোলার জন্য বেস্ট । আর তাদের ভিতরের ইন্টেরিওর টা বেশ ইউনিক আপনার ফ্রেন্ড ফ্যামিলি ওভারঅল সবার সাথেই পিক তোলার জন্য বেস্ট একটু ডেকোরেশন । আর তাদের রেস্টুরেন্ট এর বয়স বেশিদিন হই নি । এই অল্পকয়েকদিনের মধ্যেই তাদের এই ইন্টেরিয়র আর ফুড কোয়ালিটির জন্য বিশেষ ভাবে পরিচিত লাভ করে ফেলেছে । এবার আসি খাবার এর কথায় । খাবার এর দিক দিয়েও তারা কোনো অংশে কম নয় । তাদের মেনু থেকে আমি অর্ডার করলাম আমার বাজেট এর মধ্যে সেট মেনু চ । এর মধ্যে ছিলো থাই ফ্রাইড রাইস বিফ সিজলিং থাই ফ্রাইড চিকেন 1 পিএসসি চিকেন মিক্সড ভেজটেবল সালাদ ড্রিংকস ওভারঅল সব মিলিয়ে টেস্ট এর কথা বলতে গেলে আমার খাওয়া বেস্ট সেট মেনু ছিলো । সব গুলার টেস্ট একদম অসাধারণ ছিলো । রেটিং দিলে আমি ১০ এ ৯ ৫ দিবো । প্রাইস ছিলো ৩১০৳,0
 রঙ ক্যাফে সত্যি অসাধারন জ্বী হ্যা আমি নিজে গিয়ে খাবার খেয়ে তারপর লিখতে বসলাম গত কাল ২ টা রিভিউ দেখে একবার ভেবেছিলাম হুদাই গিয়া মুড টা খারাপ করুম না পরে ভাবলাম আর কিছু না হোক গিয়া কয়েকটা ফটো তুইলা কমের উপর দিয়া খাইয়া আসি লল কারন একটা বেপার আমি পুরা খেয়াল করলাম যেই সব ভাইয়েরা বা বোনেরা রঙ ক্যাফে রে গালি দিয়া ফাটাই ফেলতাছে উনাদের বেশিরভাগই নিজেদের ফেইসবুক আর ইন্সটাগ্রামে রঙ ক্যাফে এর কালার দিয়া ভইরা রাখছে তখন বুঝলাম আমরা তো বাঙালি জাতি । নিজের টা ঠিকই ষোল আনা বুঝি । নিজেরা গেছেন লাইনে দারাইয়া পিক তুলছেন তারপর খাইছেন মনের শখ মিটাইছেন এখন বাকিরা না যাক ওইটা নিয়া বেপক সময় নষ্ট করতাছেন । এত কথা লিখতাম না লিখলাম একটাই কারন আজকে যদি উনাদের নেগেটিভ রিভিউ পইরা রঙ ক্যাফে তে না জাইতাম তাইলে চরম মিস করতাম । এইবার আসি আসল কথায় অনেক ভয়ে ভয়ে আশেপাশের লোক জনের টেবিল এর খাবার দেইখা সিদ্ধান্ত নিলাম আমরা ৩ জন মিল্লা পিজা খামু যা আছে কপালে অর্ডার করলাম রঙ ক্যাফে বিশেষ পিজা 9 । অর্ডার নেয়ার সময় বলল ৪০ মিনিট লাগবে । অামি কইলাম ভাই অন্য জায়গায় এতখনে তো ২ টা পিজা দিয়া দিবো ওয়েটার এর সোজা উত্তর স্যার অামরা কাষ্টমার এর অর্ডার এর পর খাবার বানাই পিজার রুটি বেলতেও তো ১০ মিনিট লাগে । অামি ভাবলাম কি অাছে এই রঙ ক্যাফে তে আজকে দেইখাই যামু । অর্ডার করার ৩০ মিনিট পর পিজা নিয়া অাসল । পিজা দেইখাই বুঝলাম আজকে অামার ভাগ্য ভালো । পিজ্জার অর্ধেক এর বেশি খাইলাম অার বাকীটা পার্সেল দিতে কইলাম । বেষ্ট পিজা ইন খিলগাঁও । পিজার ব্রেড ওয়েল কুকড উপরের চিজটা ছিল অসাধারণ ভিতরের ইনগ্রেডিয়েন্ট ছিল বেস্ট । উল্লেখ্য আমার কাছে মনে হইল টেস্ট ১০ ১০ । দাম নিল ৬৮০ টাকা ও বলে রাখি উনাদের মেনু প্রাইস এ যা দাম তার সাথে কোন এক্সটা ভ্যাট নাই । তো কি হইল ব্যাপার টা পরিবেশ ১০ ১০ খাবার ১০ ১০ দাম ৬৮০ টাকায় ৯ পিজারে ঐ রকম জায়গা ও পরিবেশে যদি কেউ দাম বেশি বলে তাইলে উনার যায়গা গুলিস্তান ৯০ টাকায় ১২ অনায়াসে পাইয়া যাবেন । সব শেষে একটা কথা বলি রঙ ক্যাফে নিসন্দেহে অনেক সুন্দর একটা জায়গা মানুষকে তারা নতুন কিছু দেয়ার চেষ্টা করেছে । ভুল ত্রুটি সব খানেই অাছে । আমরা হুজুগে বাঙালিরা মানুষের ছোট ছোট দোষ গুলোকে মাফ করতে জানি না । আসুন আমরা মানুষের ভালো কাজকে বাহবা জানাতে শিখি । না হোলে আমাদের দেশের যেই গুটি কয়েক লোক মানুষকে ভালো কিছু দেয়ার চেষ্টা করে যাচ্ছে তারা হারিয়ে যাবে এ রঙ ক্যাফে,0
 রাজা রাজ্য দখল করবে এটাই সাভাবিক কিন্তু বিগত কিছু দিন ধরে রানী রাজ্য দখলের কাজ হাতে নিয়েছে । কি দিন আইলো বুঝি নাহ বার্গার রানী মোহাম্মদপুর মিরপুরে এতো দিন রাজত্ব করে এখন মোহাম্মদপুরে । তাই ভাবলাম এবার একটু তার রাজ্য দেখিয়া আসি । প্রথমে খুজে পেতে একটু কষ্ট হলেও পরে ঠিকমতো পেয়ে গেলাম । মোহাম্মদপুর কেন্দ্রীয় কলেজের পাশেই । ইন্টেরিয়র নিয়ে নিয়ে মাথা ব্যাথা একটু বেশি আমার । তাই আগে আসি ইন্টেরিয়রের কথায় । কম জায়গার মধ্যে অনেক ভালো ইন্টেরিয়র ছিলো আমার মতে । কালা মানিকের দেশে যাবো আর কালো মানিকের স্বাদ নিবো নাহ তা কি করে হয় নিয়েছিলাম একটি ব্লাক বার্গার ৯৫টাকা এবং একটি বেঙ্গাবয়েজ বার্গার ৭০টাকা । স্বাদ আগের মতো রয়েছে বলবো নাহ । আগের থেকে মনে হলো আরো ভালো লেগেছে । আর এটিতেও থাকছে কাপলদের জন্যে আলাদা কাপল জোন ।,0
 রামেন আমি মনে এটা স ক সেরা রামেন মধ্যে শহর কিনুন 1 পেতে 1 অফার শুনেই দৌড় দিলাম রেস্টুরেন্টে রামেনের জন্যে বরাবরের মত রামেন এর প্রতি একটা আলাদা আকর্ষণ ছিল এখন থেকে স্পাইসি রামেন মানেই ওয়ার্ল্ড কুইজিন রামেন টা যখন অর্ডার করলাম নরমাল ই লাগছিল । কিন্তু যখন টেস্ট করলাম এটা ছিল খুব এক্সসস রামেনের প্রাইজ ছিল ৩০০ টাকা কিনুন 1 পেতে 1 তারপর একটা নরমাল কফি অর্ডার দিয়েছিল । এটা ছিল এছাড়াও এক্সসস ওখানে ভাইয়াদের বিহেভিয়ারও অনেক ভালো ছিল । রমেন 9 5 কফি 8 আচরণ 10 10 বিশ্ব রান্না রেস্তোঁরা স্টেডিয়াম বিপরীত এর সার্কিট ঘর কাজির দেউরি,0
 রাশি হয় না অনুমতি দিন এ স্বাদ বিস্ফোরণ 490 টাকা বুফে প্রতি ব্যক্তি মধ্যে ধনমন্ডি 40 সুস্বাদু মুখের জল আইটেম হটলাইন 880 1733 510443 সময় দুপুরের খাবার 1 00 পিএম 4 00 প্রধানমন্ত্রী রাতের খাবার 7 00 প্রধানমন্ত্রী 10 00 প্রধানমন্ত্রী অবস্থান স্তর 10 736 রেঞ্জস কব বর্গক্ষেত্র ধানমন্ডি 9 ক সাতমাসজিড রাস্তা ঢাকা গোোগলে ম্যাপ লিঙ্ক হততপস আরবি গয় এক্সন 6 এনকেডি বই আপনার টেবিল যেমন শীঘ্রই হিসাবে সম্ভব বাচ্চারা নীতি 50 কম এর চেয়েও প্রকৃত দাম বয়স সীমা 3 6 বছর আমরা হয় গ্রহণ করা ব্যক্তিগত ঘটনা স্বাদ বিস্ফোরণ বুফে মেনু ক্ষুধার্ত 1 ওয়ান্টন 2 বিবিকিউ গরম ডানা 3 সবজি পাকোড়া পিয়াজু স্যুপ 1 থিক থাই স্যুপ 2 মশলাদার কর্ন স্যুপ থাই থালা 1 ভাজা ভাত 2 মিশ্রিত চৌ মেইন 3 থাই ভাজা মুরগী 4 চাইনিজ সবজি সোয়াটেড সবজি 5 মুরগী মরিচ পেঁয়াজ মিষ্টি টক মুরগী 6 রসুন কাঁকড়া 7 মাছ তরকারী 8 প্রাউন তরকারি ভারতীয় থালা 1 গরুর মাংস ভুনা গরুর মাংস মরিচ পেঁয়াজ থাই থালা 2 চিকেন বিরিয়ানি তেহারী 3 ডাল মাখন ভাজা 4 লুচি 5 তন্দুরি চিকেন 6 ভারতীয় ভাত ইতালিয়ান থালা যেকোনো 1 1 সাদা ক্রিম পাস্তা 2 নাগা পাস্তা সালাদ 1 কোলেসলাও 2 মিশ্রিত সালাদ 3 আলু সালাদ হারওয়াইন সালাদ 4 সবুজ সালাদ 5 ছানা মটর সালাদ 6 দাবরি চানা চ্যাট সালাদ সস 1 টমেটো সস 2 লাল মরিচ সস আচার 1 আম আচার 2 বিশেষ আচার ফল 2 প্রকারগুলি এর মৌসুমী ফল ডেজার্ট 1 খুনাফা 2 ভাত পুডিং 3 জেলি 4 মুস 5 শাহী টুকরা 6 ফল কাস্টার্ড পান করুন পানীয় সীমাহীন 1 কোক 2 স্প্রাইট 3 খনিজ জল আপনি ক্যান হোস্ট বার্ষিকী জন্মদিন পেতে একসাথে কর্পোরেট দলগুলি এবং অনেক আরো সেরা বুফে ইন শহর বুফে রাস্টুরেট সেরা বুফে কাছাকাছি ধনমন্ডি বুফে ধানমন্ডি জন্মদিন বিবাহ ঘটনা কর্পোরেট,0
 রাস্তা খাদ্য এ বাড়ি সহজ কিন্তু সুস্বাদু ডিম চিকেন রোল কলকাতা স্টাইল এগ চিকেন রোল অংশ 1 এই পার্ট এ শুধু গপ্পো সেই দিনগুলো কে খুউউউউউব মিস করি যখন আমি কলেজ ইউনিভার্সিটি থেকে বেরিয়ে রীতিমত বাস এ করে গিয়ে পার্ক রাস্তা এ নামতাম শুধুমাত্র গরম কাটি রোল খাবো বলে । এতটাই ভালোবাসতাম এই রোল খেতে যে মাঝে মাঝে একা একাই চলে যেতাম খেতে ইচ্ছা করছে ব্যস আমি যাব সাথে কেউ থাকুক আর না থাকুক । এখন যেখানে থাকি তার ঠিক পাশে একটা মার্ট আছে সেখানে আবার রীতিমত সাইনবোর্ড দেওয়া একটা ছোট্ট দোকান আছে যেখানে দিব্যি বড় বড় করে লেখা কলকাতা শৈলী কাটি রোল সে রোলে কলকাতা র রোল এর যথেষ্ট সম্ভাবনা আছে । মানে কলকাতা কাটি রোল লতা হলে এখানকার টা শ্রেয়া । যাই হোক আমরা প্রায়ই সেটা খেতাম সন্ধ্যেবেলায় । কিন্তু এখানে আসার কয়েক মাস যেতে না যেতেই তো হয়ে গেলো সেই সুখের ইতি । লকডাউন বুম কিন্তু আমার আর আমার অংশীদার মধ্যে অপরাধ এর জিভ তো সেকথা শুনবে না তারা চিকেন রোল খাওয়ার জন্য ছটফট করতে লাগলো । তাই এক রবিবার এর বিকেলে বানিয়ে ফেললাম ডিম মুরগী রোল একদম নিখুঁত অংশ 2 এ রেসিপি দেবো । কথা দিচ্ছি সেদিন এতওওও গল্প না করে একদম সোজা রেসিপি দেবো সেটা একদম ব্যর্থতা রেসিপি হবে । থাক সুর করা ও হ্যাঁ ইনস্টাগ্রাম এও আমাদের অনুসরণ করুন করতে পারেন বং খাদ্য কর্নার এ,0
 রাস্তা খাবার স্বর্গ মধ্যে কলকাতা বলতে আমি ডেকার্স লেন ই বুঝি আর ডেকার্স লেন এর সবথেকে ব্যস্ততম দোকান যেটা তার নাম চিত্ত বাবুর দোকান আর এই চিত্ত বাবুর দোকানে সবথেকে জনপ্রিয় খাবার গুলির মধ্যে হলো চিকেন স্টু পাউরুটি ১০০ টাকা ও ঘুগনি পাউরুটি ২৩ টাকা ভিডিও লিঙ্ক হততপস ইউটিউব হতে আরএস 8 এগমক 7 ইক,0
 রাস্তার ধারে রান্নাঘর মানে একটা ধামাকা অফারের রাজ্যে স্বাগতম মিরপুর মানেই অফার আর অফার মানেই রোডসাইড কিচেন ২২ ডিসকাউন্ট পাবেন এখানে ২২তারিখে মিরপুরের ভিতরে তাদের খাবার এর অনেক নাম ডাক আছে তাদের রুফটপ হওয়াতে এখন পুরাই বিন্দাস লাগে । দেখতে যেমন সুন্দর হয়েছে তখন ছবি তুললে পুরাই আগুন আগুন লাগে আগুন নিভাতে ফায়ার সার্ভিস লাগে । সবকিছু মিলিয়ে পারফেক্ট মনে হলো এটা মিরপুর 1 নাম্বার ঈদগা মাঠের পাশেই ।,0
 রাস্তার পাশে রান্নাঘর মালিক পস্ট বার্গার বৃত্তান্ত ২৫০ টাকার বাজেট ফ্রেন্ডলী প্লেটার বার্গার বৃত্তান্তঃ রিটার্নস চীজি মাশরুম চিকেন বার্গার হানি গ্লেজ্ড মাশরুম ফ্রেঞ্চ ফ্রাইস হানি মাস্টার্ড সস্ বার্গার বৃত্তান্তঃ সাটার ক্লোস চীজি সসেজ চিকেন বার্গার স্মোকি সসেজ স্টিক ৩ স্টিকস ফ্রেঞ্চ ফ্রাইস হানি মাস্টার্ড সস্ কলেস্লো সালাদ লোকেশনঃ মিরপুর 1 সনি হল থেকে চিড়িয়াখানা রোড ঈদগা মাঠের অপর সাইডে এ রাস্তার ধারে রান্নাঘর,0
 রিভিউ দেখে বিরক্ত তাহলে সময় থাকলে আমার মতো ঘুরে আসতে পারেন অপরিচিত একটি রেস্টুরেন্টে । ধানমন্ডিতে ফুড আর্ট খুব কমই দেখা যায় । তবে চাইলে খুঁজে পাওয়াটা অসম্ভব কিছু নয় । তাই আমি খুঁজে পেয়ে গেলাম আর্ট অফ ফুড কে । চমৎকার একটি রেস্টুরেন্ট । ভিতরে নজরকারা সাজসজ্জা আর মনোরোম পরিবেশ যেকারো মনকে আকর্ষণ করবেই । তো সেখানে গিয়ে দেখি লাইভ মিউজিকও রয়েছে । তো সেখানে মেনু দেখে অর্ডার করলাম তাদের থালা 4 তারা অর্ডার নিয়ে চলে গেলো আর আমি বসে বসে গান উপভোগ করছিলাম । মনে হলো লাইভ আরজিৎ সিং এর গান শুনছি । ১৫ ২০ মিনিট পর চলে এলো খাবারটি । তারা খুব সুন্দর করে খাবার পরিবেশন করে যা খাবারটি কে উপভোগ করার মজা আরো বাড়িয়ে দেয় । যা নিয়েছিলাম প্লাটার 4 1 পিসি মশলা টাকো 1 পিসি বুরিটো মেক্সিকান চাল চিকেন স্টেক মেক্সিকান সালসা শেফ তৈরি সস স্বাদ ৮ ১০ খাবার যথেষ্ট ভালো ছিলো পরিবেশ ১০ ১০ প্রথমেই বললাম যে কারোই মন আকর্ষণ করবে সার্ভিস ১০ ১০ তারা খুব আন্তরিক ডাকার সাথে সাথেই গুরত্ব দিচ্ছিলো আইটেম প্লাটার 4 দাম ৪২০ টাকা লোকেশান শিল্প এর খাবার 8 থ মেঝে কেবি বর্গক্ষেত্র ধানমন্ডি ঢাকা,0
