Translated,Label
 কয়েকটা রিভিউ ভিডিও তে তার খিচুড়ির প্রশংসা অনেক শুনে তা খেয়ে দেখতে গেলাম বউকে নিয়ে । আমার কাছে খুবই বাজে লেগেছে । এই গুলো মানুষ কিভাবে ভালো পর্যালোচনা দেয় আল্লাহু ই ভালো জানে । আমরা নিয়েছিলাম ৩২০ টাকায় খাশির রান দিয়ে আনলিমিটেড খিচুরির অফার আর ২৬০ টাকার প্লেট । ২৬০ টাকার প্লেট এর গোস্ত থেকে গন্ধ আসতে ছিলো । লেগ রোস্ট টা ভালো ছিলো । তাই ২ দেয়া হয়েছে । যে পর্যালোচনা গুলো দেয়া হয়েছে সব প্রদত্ত পর্যালোচনা আমার লাইফ এ খাওয়া সব থেকে বাজে খাবার ছিলো । আর দাম কি আর বলবো এক ধরনের ডাকাতি বলা যায় । রেটিং 2 10 স্থান শমসের আলীর ভুনা খিচুরি পুরান ঢাকা সাত রওজা রোডে কোলকাতা কাচ্চি ঘরের পাশে ।,1
 কয়েকদিন আগে মিরপুর ৬ নম্বর দস্তরখানায় খেতে গিয়েছিলাম । এই একটা জায়গায় বেশী বেশী যাওয়া হয় কারণ ওদের বেশীরভাগ ফুড আইটেম গুলোই অনেক টেস্টি । আইটেম ১ গরুর ব্রেইন মাসালাদাম ১৬০ টাকা ২ আলু পরোটাদাম ২৫ টাকা ৩ তাওয়া ঝাল ফ্রাই ফ্রেঞ্চ ফ্রাই দাম ১০৫ টাকা ৪ প্যাঁচ পরোটাদাম ২০ টাকা গরুর ব্রেইন মাসালার সাথে আলু পরোটার কম্বিনেশনটা জোশ ছিলো । আমি যে পরিমাণে খাদক সেই আমার পক্ষেই ১ আর ২ নং আইটেম একা শেষ করতে খুব কষ্ট হয়ে গেছে । এক জনের জন্য এটা শেষ করা খুবই কষ্টকর হবে । তাওয়া ঝাল ফ্রাইটাও একটু টেস্ট করেছিলাম । মাশাল্লাহ খারাপ নাহ । আসলে ওদের খাবারের টেস্ট আমাকে কখনোই হতাশ করে নাই । আর সার্ভিস খুবই ভালো । মামাটা পরিচিত হয়ে ঐখানে এত পরিমাণে যাওয়া হয় । হোটেলটা দোতলা উপরের ডেকোরেশনটা বেশ ভালো । ওদের মেনু ও টোটাল বিল ছবিতে দেয়া আছে । খুশি খাওয়া সঙ্গে কানিজা কাউসার মালা,1
 কয়েকদিন ধরে দই ফুচকার জন্য মরতেছিলাম মিরপুরে দই ফুচকার ভালো দোকান ও নাই ভালো খেতে চাইলে হয় ধানমন্ডি নয়ত বসুন্ধরা ফুডকোর্ট যেতে হবে এতদূর যাওয়াও প্যারা তারপর ফেসবুকে রিভিউ দেখলাম এই রেস্টুরেন্ট এর সিরিয়াসলি ভালো ছিল দই ফুচকা আর পাপরিচাট দুইটাই ভালো ছিল আর পরিবেশটাও ভালো ছিল খাবার 9 10 স্থান 8 10 কেএফসি এর রোড ধরে একটু সামনে এগোলেই হবে পরিষেবা 10 10 ফ্রেন্ডলি দাম 8 10 দই ফুচকা 90 টাকা পাপরিচাট 70 টাকা আবার যাওয়ার ইচ্ছা আছে আর সবচাইতে ভালো লাগছে এই ভেবে যে ভালো ইন্ডিয়ান ফুড খেতে চাইলে এখন আর কষ্ট করে ধানমন্ডি বা বসুন্ধরাসিটি যেতে হবে না সঙ্গে সাদিয়া আহমেদ প্রিয়াঙ্কা এবং রামিসা আনাম প্রোমা এ রাজ দরবার ঢাকা াকা,1
 কয়েকদিন যাবত খুব ইচ্ছে করছিলো কাচ্চি খাওয়ার । ভাবছিলাম নিরিবিলি একটা পরিবেশ সাথে ভালো মানের কাচ্চি খাবো । হঠাৎ চোখ পড়ে গেল মিরপুরের নবাবী রান্না কাকি বিশেষ ব্যাস চলে গেলাম কাচ্চি উপভোগ করতেআলহামদুলিল্লাহ যা ভেবেছিলাম তাই । তাদের ব্যবহার এবং পরিবেশ তো মাশাল্লাহ খুব ই সুন্দর । খাবারের মান ১০ ১০ । তাদের খাবারের মধ্যে ছিলো রেগুলার মাটান কাচ্চি ২৬০টাকা ৩জনের ৭৮০ টাকাচিকেন হারিয়ালি ১৭০টাকা ২ জন ৩৪০টাকা চিকেন মালাই বড়ি ১৮০টাকা ২জন ৩৬০টাকাবিফ শিক ২০০টাকা ২জনের ৪০০টাকাকাবাব কাচ্চি আমার কাছে বেস্ট লেগেছেআপনি কবে যাচ্ছেন,1
 কয়েকবার খেয়েছি দাম ফুড কোয়ালিটি এন্ড প্রাইজ কম্পেয়ার করে অনেক ভালই মনে হয়েছে ৪ জন মিলে খেতে গেলাম ২ টা বার্গার এর প্যাক অর্ডার দিলাম ৪ টা বার্গার সাথে ২টা ড্রিংস ফ্রি আইটেম বার্গারটাস্টে 9 10 পরিবেশ 9 10 পরিষেবা 9 10 পরিমাণ 10 10 2 বার্গার পানীয় আচরণ করুন 10 10 ভাল যথেষ্ট দাম ১৬০ শুধুমাত্র লোকেশন মালিবাগ আবুল হোটেল এর বিপরীতে রোড এ একটু হেটে হাতের ডানে কেএফসি এর আগে,1
 খা পরাধী আমি জেলের খাবার খেয়ে আসলাম এমন একটা জেল যেখানে আপনি খা শ্রম কারাদন্ড উপভোগ করতে পারবেন জেলার রা আপনাকে আদর করে প্রথমে স্বাগতম পানীয় দিয়ে স্বাগতম জানাবে এবং এরপর অর্ডার দিলে খাবার এনে দেবে আর জেলে বসে খাবার নামক শ্রম টাই আপনাকে পালন করতে হবে আই মিন খেতে হবে আর শাস্তি হিসেবে আপনাকে বিল পে করতে হবে জাস্ট কি মধুর জেল তাইনা বলছি উত্তরার কারাগার থিম ভিত্তিক রেস্তোঁরা কেন্দ্রীয় জেল ক্যাফে এর কথা জানামতে বাংলাদেশের প্রথম এর সাউথ এশিয়ার ৪র্থ জেল থিম বেইজড রেষ্টুরেন্ট এটা খেয়েছিলাম তাদের বালতি ওয়েজস আত্মহত্যা ডানা ক্যারোলিনা মুরগী প্লাটার ওয়েজস গুলোর ভালো দিক ছিলো যেটা সেটা হলো সেগুলো মুখে দেবার সাথে সাথে বুঝা যাচ্ছিলো যে খুব ভালোভাবে সিদ্ধ হয়েছে উপরের লেয়ার টা হাল্কা ক্রিস্পি আর ভিতরের দিক টা বেশ নরম ছিলো তবে স্পাইস লেভেল ছিলো মিডীয়াম দাম 220 টাকা রেটিং 8 10 আত্মহত্যা ডানা গুলোর নামের সাথে সুইসাইড শব্দটা জুড়ে দেওয়া থাকলেও আমার কাছে খুব একটা স্পাইসি মনে হয়নি তবে খেতে ভালোই সসের কারুকার্য ও ভালো ছিলো দাম 180 টাকা জন্য 6 টুকরা রেটিং 7 5 10 ক্যারোলিনা মুরগী প্লাটার এ ছিলো একটা মিডিয়াম সাইজ এর চিকেন যেটা কোন একটা স্পেশাল গ্র্যাভি দিয়ে বানানো যেটার কারণ একটা মিষ্টি আর ঝাল টাইপ স্বাদ পাবেন কামড় দেবার সাথে সাথে । রাইস টাও বেশ ভালো ছিলো আর সালাদ তো সালাদ ই দাম 350 টাকা রেটিং 8 5 10 একটাই ভয় আছে যে আসল জেল এর আসামীরা না আবার এই জেল টাইপ রেষটুরেন্টে তাদের রাখার জন্য আবেদন করে । ঠিকানা কেন্দ্রীয় জেল ক্যাফে ক্রান্তীয় শর্মি কেন্দ্র এর লিফট এর ৩ খাজা গরীবে নেওয়াজ রোড সেক্টর ১৩ উত্তরা গুগল মানচিত্র লিঙ্ক হততপ বিট কর জেলকাফ্লো আমি চালু ইনস্টাগ্রাম দ্বারা ক্লিক করা দ্য নীচে লিঙ্ক হততপস ওওও ইনস্টাগ্রাম চম ফুডি হচ্ছে বিডি,1
 খাইলাম আবার মিট বক্স হম ভাবছেন কেউ আমাকে 200 দেয়ায় আমি এই রিভিউ করছি মোটেও না । নিজে 200 টাকা পেইড করে সন্তস্ট হয়ে এই রিভিউ দেয়া আজ সোমবার যখন বাসায় বসে বোর হচ্ছিলাম তখন আমার উনাকে বললাম নিয়ে যেতে কিন্তু উনি আর উনার কাজ তাই মনটা ভীষন খারাপ ছিল তাই বলে কি বাসায় বসে থাকা যায় তাই হুট করে কোন প্ল্যান ছাড়াই একা একা চলে গেলাম মজা বাক্স রাজ্যে তার অপর নাম হয়তো সবাই জানেন দ্য বিটকয়েন ক্যাফে মিরপুর মিরপুরে বলে অন্য কোথাও পারি দিতে হয়নি যেহেতু বাসার পাশে আর আমি আগে অনেক বার গিয়েছি তাই খাবার কেমন হবে সেটা নিয়ে চিন্তিত ছিলাম না তাদের এই বক্স এ আভিজাত্যের ছোঁয়া তাদের এই বক্স নিয়ে একটা কথাই বলবো না খাবেন তো পস্তাবেন মজা বাক্স এর বিতরে যা যা ছিল ১ চিকেন ২ চিকেন সসেজ ৩ মাসরুম ৪ ওয়েজেস ৫ সবচেয়ে যেটা সেটা হলো হানি মাস্টার সজ সব মিলিয়ে টেস্ট ৯ ১০ লোকেশন দ্য বিটকয়েন ক্যাফে মিরপুর খাওয়া দুপুরের খাবার এ দ্য বিটকয়েন ক্যাফে মিরপুর খাওয়া দুপুরের খাবার এ দ্য বিটকয়েন ক্যাফে মিরপুর খাওয়া দুপুরের খাবার এ দ্য বিটকয়েন ক্যাফে মিরপুর ইট্টি এ দ্য বিটকয়েন ক্যাফে মিরপুর,1
 খাইলাম আবার মিট বক্স হম ভাবছেন কেউ আমাকে 200 দেয়ায় আমি এই রিভিউ করছি মোটেও না । নিজে 200 টাকা পেইড করে সন্তস্ট হয়ে এই রিভিউ দেয়া আজ সোমবার যখন বাসায় বসে বোর হচ্ছিলাম তখন আমার উনাকে বললাম নিয়ে যেতে কিন্তু উনি আর উনার কাজ তাই মনটা ভীষন খারাপ ছিল তাই বলে কি বাসায় বসে থাকা যায় তাই হুট করে কোন প্ল্যান ছাড়াই একা একা চলে গেলাম মজা বাক্স রাজ্যে তার অপর নাম হয়তো সবাই জানেন দ্য বিটকয়েন ক্যাফে মিরপুর মিরপুরে বলে অন্য কোথাও পারি দিতে হয়নি যেহেতু বাসার পাশে আর আমি আগে অনেক বার গিয়েছি তাই খাবার কেমন হবে সেটা নিয়ে চিন্তিত ছিলাম না তাদের এই বক্স এ আভিজাত্যের ছোঁয়া তাদের এই বক্স নিয়ে একটা কথাই বলবো না খাবেন তো পস্তাবেন মজা বাক্স এর বিতরে যা যা ছিল ১ চিকেন ২ চিকেন সসেজ ৩ মাসরুম ৪ ওয়েজেস ৫ সবচেয়ে যেটা সেটা হলো হানি মাস্টার সজ সব মিলিয়ে টেস্ট ৯ ১০ লোকেশন দ্য বিটকয়েন ক্যাফে মিরপুর খাওয়া দুপুরের খাবার এ দ্য বিটকয়েন ক্যাফে মিরপুর খাওয়া দুপুরের খাবার এ দ্য বিটকয়েন ক্যাফে মিরপুর খাওয়া দুপুরের খাবার এ দ্য বিটকয়েন ক্যাফে মিরপুর খাওয়া দুপুরের খাবার এ দ্য বিটকয়েন ক্যাফে মিরপুর খাওয়া দুপুরের খাবার এ দ্য বিটকয়েন ক্যাফে মিরপুর খাওয়া দুপুরের খাবার এ দ্য বিটকয়েন ক্যাফে মিরপুর,1
 খাইলে গরম না খাইলে নরমমোহাম্মদপুর গেসিলাম কলেজ লাইফের এক বন্ধুর সাথে আড্ডা মারতে । তো বন্ধু বললো মামা যেই ঠান্ডা পরসে শৈল গরম করতে ঝাল কিছু খাওয়া দরকার কি বলোস যেই কথা সেই কাজ হাতের কাছে পেয়ে গেলাম বার্গার ফিয়েস্তা । তো সেখানে ঢুকে অর্ডার দিলাম ঝাল ঝাল ডানা কমান্ড ১৮০টাকা ৪পিস ডানা সাথে অনেক গুলা ফ্রেঞ্চ ফ্রাই । তো বেশি দেরি করেলো না হাজির হয়ে গেলো আমাদের সামনে । খেতে বেশ মজাই সাথে ঝাল । পরিমাণেও বেশ ভালো ছিল । ভালোই লেগেছে আমাদের কাছে । খাওয়ার পর খুব গরম লাগছিলো আসলেই এমনিতে টেস্ট ভালোই ট্রাই করে দেখতে পারেন আশা করি হতাশ হবেন না আইটেমঃ ডানা কমান্ড দাম ১৮০ টাকা সব অন্তর্ভুক্ত প্লেসঃ বার্গার ফিয়েস্টা মোহাম্মদপুর এ বার্গার ফিয়েস্টা,1
 খাও বাঙ্গালি খাও আজ বুঝলাম শ্যামলী স্কয়ারের ফুড কোর্ট এ ভালো মানের খাবার পাওয়া যায় বলেই সেখানকার ফুড রিভিউ তুলনামূলক বেশি দেখা যায় । শপ নাম 9 আলাচি খাবার সেট মেনু 170 ফ্রাইড রাইস 9 5 10 বারবিকিউ চিকেন 10 10 ছোট পিস ভেজিটেবল 9 10 সালাদ 9 10 গ্রিন সস 10 10 চাউমিন 5 5 10 বেশি ভালো লাগে নি পাস্তা 6 5 10 ড্রিংকস 1 10 স্বাদ বিহীন কোক থাই সুপ 9 10 এটা ফ্রি পেয়েছি । ইয়াম্মি । চিকেন অনেক ছিলো কিন্তু সসের পরিমাণ কম হলে ভালো লাগতো । এত কম দামে বেশি আইটেম আর ভালো খাবার অনেক দিন পর খেলাম । অনুভূতি ক্ষুধার্ত এ শামোলি বর্গক্ষেত্র খাবার আদালত,1
