Review,Label
"খিলগাঁও এর বেস্ট মিটবক্স খেলাম ১৯০/- তে একটা কিনলে একটা ফ্রি বার্গারের অফার লুফে নেয়ার সাথে সাথে সেরার সেরা মিটবক্সও খাওয়া হলো খুবই অল্পটাকায়। ২২০/- তে এত মাংসে ঠাসা, চিজি আর মায়োতে ভরা মিটবলে ভরা মিটবক্স পেয়ে যাচ্ছি ভাবতেই অবাক লাগলেও, ইহা সত্য হলো Little Yellow তে। BUY1 GET1 FREESomkey Chicken Burger190/-Meatball Meatbox 220/-Chicken Dominator 8""300/-বার্গার দুইটা পেয়েছি একটার দামে। অস্থির খেতে ছিল। মাংসের কোন কমতি ছিল না। মায়ো টা একটু বেশি পেয়েছি, সাথে ছিল বিবিকিউ সস। পুরোই জমে গেছে।লোকেশনঃ খিলগাঁও পল্লীমা সংসদের ঠিক অপজিটে। — at Little Yellow",1
খিলগাঁও এর ভিতর স্যান্ডুইচ এর মধ্যে Bundose বেস্ট তাদের স্যান্ডুইচ গুলোতে একটা টক মিস্টি স্পাইসি ফিল পাওয়া যায় যেটা অনেক ভালো লাগে আর তাদের ফুড এম্বিয়েন্সও অনেক ভালোSpicy cubic sandwich Price- 159/-Snickers gringo shakePrice- 138/-Location- shahid baki sharak Khilgaon,1
"খিলগাঁও -এর মতনটাকাওয়ালাদের জায়গায়#১৯০/-তে মাথানষ্ট অফারলুফে নিলাম পল্লীমা সংসদের অপজিটে Little Yellow  রেস্টুরেন্টে একটা ছোটখাটো জটলাই বলা যায় লেগেছে এই অফারের জন্য। গেলাম, খেলাম, জয় করলাম দেরিনা করে। Smokey Chicken Burger 190/-BUY 1 GET 1 free দারুণ একটা বার্গার। একটা কিনলে একটা ফ্রি। জুসি আর মাংসে ঠাসা ছিল। মাস্ট ট্রাই বার্গার খিলগাঁও এর। Meatball Meatbox 220/-বিশ্বাস করেন রাসেল ভাই, এই মিটবক্সে এত এত পরিমাণ মাংস পাবো, যার জন্য আমি মোটেও প্রস্তুত ছিলাম না। মিটবল গুলা এত জোস, ৫ টা পাবেন। আর মাংসের কোন অভাব নেই। লোকেশনঃ খিলগাঁও পল্লীমা সংসদের ঠিক অপজিটে। — at Little Yellow",1
"খিলগাঁও এর মতো পস জায়গায় এত্ত ভালো অফার  যেকোনো ৬ ইঞ্চি পিৎজা ১৪৯/- টাকা যেকোনো ৮ ইঞ্চি পিৎজা ২৪৯/- টাকা যেকোনো ১০ ইঞ্চি পিৎজা ৩৪৯/- টাকা হ্যাঁ বলছিলাম  খিলগাঁও এর Little Yellow  এর কথা বাজেটের মধ্য এতো ভালো খাবার আর মান অসাধারণ   Double Decker Chicken 179/- (offer)ডাবল চিকেন ডাবল চিজ সাথে জোস একটা বান সফটনেস ও ছিল অসাধারণ বার্গার বেশী মায়ো দেওয়াতে জুসি একটা ফিল এসেছিল৷ Two Cheese and Chicken 10""  Meat Overloaded 6” আমার নেয়া দুইটি পিৎজাই ছিল জোস টপিং, চিজ, মিট আর সসেজ।  এইদামে সত্যিই জোস — at Little Yellow",1
"খিলগাঁও-এর শহিদ বাকী সড়কের ঐদিকে হাঁটছিলাম। খিলগাঁও-এর কার্টগুলার সামনে দিয়ে যাচ্ছিলাম তখনই শেষের দিকের কার্টে এই ""এক কাপ চা"" কার্টটা খুজে পেলাম। ফুডব্যাংকে এর আগে এই কার্টকে নিয়ে পোস্ট দেখেছিলাম। কার্টটার ডিজাইনটা বেশ ভাল লাগলো। গেলাম। প্রত্যেকটা চা ১০-১৫ টাকার মধ্যে। ফার্স্টে ""গুড় মাসালা চা"" অর্ডার করলাম। এক কথায় চমৎকার ছিল। প্রাইস - ১৫ টাকা (পরিমাণ আর টেস্ট অনুযায়ী দাম অনেক কম) .. এরপর খেলাম ওদের সবচেয়ে ফেমাস ""টনিক চা"" । ঐটার দামও ১৫ টাকা। টক, ঝাল , মিষ্টির কম্বিনেশন ঐটা। টনিক চা বেশ অন্য রকম ছিল। টেস্ট অসাধারন ...Environment : রাস্তায় ফূটপাথের ওপর বসে অথবা দাঁড়িয়ে খেতে হবে .. Free WiFi আছে ।Service : দ্রুতই সার্ভ করে .. Overall : 10/10 ( Environment বাদে ) Fully Satisfied .. ( ক্যামেরার কোয়ালিটি খারাপ হওয়ার কারনে পিক ভাল আসে নাই )",1
"#খিলগাঁও_এর_সেরা_চাইনিজ_রেস্টুরেন্ট The Dining Lounge চাইনিজ, থাই ফুডের জন্য মনে হয় খিলগাঁও এদের ৩.৫ বছর ধরে দেখছি। খিলগাঁও এর এমন কোন ফুডি নেই যে এদের খাবার খায় নি। নতুন ফুডিদের কথা আলাদা।সেই নতুন ফুডিদের জন্য এখানের কিছু স্পেশাল আইটেম সম্পর্কে জানাতে ইচ্ছে হলো। #সেফ_সিগনেচার_ফ্রাইড_রাইস৩৮৫ , ১ঃ২ প্যাক অনায়াসে এটা ৩ জন খেয়ে ফেলতে পারবেন। প্রন, চিকেন, মাশরুমে ঠাসা ফ্রাইড রাইস যেকোন কারি আইটেম দিয়ে খেয়ে পেট ঢোল বানানো সম্ভব।#মঙ্গোলিয়ান_বিফ ৪৯৫/- , ১ঃ৩ তিনজনের লিখা থাকলেও পরিমাণে অনেক বেশি। বিফটার মাসালা এত্ত মজা। যা খেলেই বুঝতে পারবেন। পারফেক্ট কুকড ছিল। মিট চাবাতে বেগ পেতে হয়নি। সাথে মাশরুমের পরিমাণ ও ছিল দেখার মতন। #মিক্সড_থাই_ভেজিটেবল ৩৮৯/- , ১ঃ৩একদম বিফের মতন পরিমান। অনেস্টলি বলতে গেলে, এটা থাই ধারনার বেসিক অনুযায়ী কুক করা। আর দুটো এক্সট্রা থাই ফ্রাইড চিকেন নেয়া হইছিল। দামটা ঠিক মনে নেই। ক্রিস্পি চিকেন ভালো লাগে আমার। এটা তেমন ছিল না। এভারেজ লেগেছে।..খিলগাঁও তে আজকাল সসে ডুবানো থাই, চাইনিজ ডিশ সেল করা অনেক রেস্টুরেন্ট আসছে। এদের থাই, আর চাইনিজ বেসিক সম্পর্কে ধারণা কতটুকু জানি না। তবে রিকুয়েষ্ট তাদের, বেসিক অনুযায়ী কুক করার। সসের আধিক্য কমিয়ে,  আমাদের মতন অথেনটিক ফুডিদের কল্যানে।The Dining Lounge373/B, Level 3 Shotodol Rose Heights Shahid Baki Road, Taltola Mor, Dhaka 121901976-239619https://maps.app.goo.gl/WUBP6sNbL12nK3zPA",1
খিলগাঁও এর হাজীর তেহারী।ফুল প্যাক ১০০ টাকা।হাফ প্যাক ৬০ টাকা।Awesome taste.,1
"খিলগাঁও এর ৯৯ টাকার কাচ্চি। রেটিং: ৮.৫/১০সার্ভিসঃ ৮/১০বিফ কাচ্চি। খেতে ভালো ছিল। তবে আহামরি তেমন কিছু না। কম বাজেটে একদম চলে যাওয়ার মতন কাচ্চি।লোকেশনঃ ক্যাফে খিলগাঁও, খিলগাঁও আমানুউল্লাহ মার্কেটের সামনে। — eating Kacchi.",1
খিলগাঁও এলাকায় আমার খাওয়া সবচেয়ে uncommon dish  Chicken ala King with mashed potato and steam rice Price:280/-Taste:বলার ভাষা নাই out of this world Place:grind house,1
"খিলগাঁও এলাকায় এতো ভালো কাবাবের দোকান আছে এতদিন শুধু শুনছিলাম যে Kabab station  এর খাবার অনেক সুস্বাদু কিন্তু আজ সেই কথাই সত্য প্রমানিত হলো।এবং এখানকার কাবাবের কিছু প্যাকেজ আছে, যা এক কথায় অসাধারণ। এবং এখানকার খাবারের দামও খুবই যে বেশি তা কিন্তু নয়। যেটা আগে বুঝি নাইআর খাবারের মানের কথায় আসলে  শুধু বলবো, আগে নিজেরা একবার হলেও টেষ্ট করে দেখে পরে রেটিং দিবেন আমি আর দিলাম না।  লোকেশনঃ হাউজ ৩৩০, রোড ১২, ব্লক এ, তিলপাপাড়া, খিলগাঁও,  ঢাকা-১২১৯ — at Kabab station",1
